t, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta
0.235500, 0.433013, 0.374626, 2.094395, 1.876817
0.237000, 0.433013, 0.374078, 2.094395, 1.874554
0.238500, 0.433013, 0.373530, 2.094395, 1.872288
0.240000, 0.433013, 0.372984, 2.094395, 1.870018
0.241500, 0.433013, 0.372438, 2.094395, 1.867746
0.243000, 0.433013, 0.371894, 2.094395, 1.865471
0.244500, 0.433013, 0.371350, 2.094395, 1.863194
0.246000, 0.433013, 0.370808, 2.094395, 1.860914
0.247500, 0.433013, 0.370266, 2.094395, 1.858632
0.249000, 0.433013, 0.369726, 2.094395, 1.856348
0.250500, 0.433013, 0.369187, 2.094395, 1.854062
0.252000, 0.433013, 0.368649, 2.094395, 1.851774
0.253500, 0.433013, 0.368113, 2.094395, 1.849484
0.255000, 0.433013, 0.367578, 2.094395, 1.847192
0.256500, 0.433013, 0.367045, 2.094395, 1.844899
0.258000, 0.433013, 0.366513, 2.094395, 1.842604
0.259500, 0.433013, 0.365984, 2.094395, 1.840307
0.261000, 0.433013, 0.365456, 2.094395, 1.838009
0.262500, 0.433013, 0.364930, 2.094395, 1.835709
0.264000, 0.433013, 0.364406, 2.094395, 1.833408
0.265500, 0.433013, 0.363885, 2.094395, 1.831105
0.267000, 0.433013, 0.363366, 2.094395, 1.828800
0.268500, 0.433013, 0.362849, 2.094395, 1.826494
0.270000, 0.433013, 0.362334, 2.094395, 1.824187
0.271500, 0.433013, 0.361822, 2.094395, 1.821879
0.273000, 0.433013, 0.361312, 2.094395, 1.819570
0.274500, 0.433013, 0.360806, 2.094395, 1.817259
0.276000, 0.433013, 0.360302, 2.094395, 1.814947
0.277500, 0.433013, 0.359800, 2.094395, 1.812634
0.279000, 0.433013, 0.359302, 2.094395, 1.810320
0.280500, 0.433013, 0.358806, 2.094395, 1.808004
0.282000, 0.433013, 0.358313, 2.094395, 1.805688
0.283500, 0.433013, 0.357824, 2.094395, 1.803371
0.285000, 0.433013, 0.357337, 2.094395, 1.801053
0.286500, 0.433013, 0.356853, 2.094395, 1.798733
0.288000, 0.433013, 0.356373, 2.094395, 1.796413
0.289500, 0.433013, 0.355896, 2.094395, 1.794093
0.291000, 0.433013, 0.355422, 2.094395, 1.791771
0.292500, 0.433013, 0.354952, 2.094395, 1.789449
0.294000, 0.433013, 0.354485, 2.094395, 1.787126
0.295500, 0.433013, 0.354022, 2.094395, 1.784802
0.297000, 0.433013, 0.353562, 2.094395, 1.782478
0.298500, 0.433013, 0.353106, 2.094395, 1.780153
0.300000, 0.433013, 0.352654, 2.094395, 1.777827
0.301500, 0.433013, 0.352206, 2.094395, 1.775501
0.303000, 0.433013, 0.351762, 2.094395, 1.773174
0.304500, 0.433013, 0.351323, 2.094395, 1.770847
0.306000, 0.433013, 0.350887, 2.094395, 1.768519
0.307500, 0.433013, 0.350455, 2.094395, 1.766191
0.309000, 0.433013, 0.350028, 2.094395, 1.763862
0.310500, 0.433013, 0.349606, 2.094395, 1.761532
0.312000, 0.433013, 0.349188, 2.094395, 1.759203
0.313500, 0.433013, 0.348774, 2.094395, 1.756872
0.315000, 0.433013, 0.348366, 2.094395, 1.754542
0.316500, 0.433013, 0.347962, 2.094395, 1.752211
0.318000, 0.433013, 0.347562, 2.094395, 1.749879
0.319500, 0.433013, 0.347168, 2.094395, 1.747547
0.321000, 0.433013, 0.346779, 2.094395, 1.745215
0.322500, 0.433013, 0.346395, 2.094395, 1.742883
0.324000, 0.433013, 0.346016, 2.094395, 1.740550
0.325500, 0.433013, 0.345642, 2.094395, 1.738217
0.327000, 0.433013, 0.345273, 2.094395, 1.735884
0.328500, 0.433013, 0.344910, 2.094395, 1.733551
0.330000, 0.433013, 0.344552, 2.094395, 1.731218
0.331500, 0.433013, 0.344200, 2.094395, 1.728884
0.333000, 0.433013, 0.343853, 2.094395, 1.726551
0.334500, 0.433013, 0.343511, 2.094395, 1.724217
0.336000, 0.433013, 0.343176, 2.094395, 1.721883
0.337500, 0.433013, 0.342846, 2.094395, 1.719549
0.339000, 0.433013, 0.342522, 2.094395, 1.717216
0.340500, 0.433013, 0.342203, 2.094395, 1.714882
0.342000, 0.433013, 0.341891, 2.094395, 1.712549
0.343500, 0.433013, 0.341584, 2.094395, 1.710215
0.345000, 0.433013, 0.341284, 2.094395, 1.707882
0.346500, 0.433013, 0.340990, 2.094395, 1.705549
0.348000, 0.433013, 0.340701, 2.094395, 1.703216
0.349500, 0.433013, 0.340419, 2.094395, 1.700883
0.351000, 0.433013, 0.340143, 2.094395, 1.698550
0.352500, 0.433013, 0.339874, 2.094395, 1.696218
0.354000, 0.433013, 0.339610, 2.094395, 1.693886
0.355500, 0.433013, 0.339353, 2.094395, 1.691555
0.357000, 0.433013, 0.339103, 2.094395, 1.689224
0.358500, 0.433013, 0.338858, 2.094395, 1.686893
0.360000, 0.433013, 0.338621, 2.094395, 1.684563
0.361500, 0.433013, 0.338389, 2.094395, 1.682233
0.363000, 0.433013, 0.338165, 2.094395, 1.679903
0.364500, 0.433013, 0.337947, 2.094395, 1.677575
0.366000, 0.433013, 0.337735, 2.094395, 1.675246
0.367500, 0.433013, 0.337531, 2.094395, 1.672919
0.369000, 0.433013, 0.337333, 2.094395, 1.670592
0.370500, 0.433013, 0.337141, 2.094395, 1.668265
0.372000, 0.433013, 0.336957, 2.094395, 1.665939
0.373500, 0.433013, 0.336779, 2.094395, 1.663614
0.375000, 0.433013, 0.336608, 2.094395, 1.661290
0.376500, 0.433013, 0.336444, 2.094395, 1.658967
0.378000, 0.433013, 0.336287, 2.094395, 1.656644
0.379500, 0.433013, 0.336137, 2.094395, 1.654322
0.381000, 0.433013, 0.335994, 2.094395, 1.652001
0.382500, 0.433013, 0.335858, 2.094395, 1.649681
0.384000, 0.433013, 0.335728, 2.094395, 1.647361
0.385500, 0.433013, 0.335606, 2.094395, 1.645043
0.387000, 0.433013, 0.335491, 2.094395, 1.642726
0.388500, 0.433013, 0.335383, 2.094395, 1.640409
0.390000, 0.433013, 0.335282, 2.094395, 1.638094
0.391500, 0.433013, 0.335188, 2.094395, 1.635779
0.393000, 0.433013, 0.335101, 2.094395, 1.633466
0.394500, 0.433013, 0.335021, 2.094395, 1.631154
0.396000, 0.433013, 0.334948, 2.094395, 1.628843
0.397500, 0.433013, 0.334883, 2.094395, 1.626533
0.399000, 0.433013, 0.334825, 2.094395, 1.624224
0.400500, 0.433013, 0.334773, 2.094395, 1.621917
0.402000, 0.433013, 0.334728, 2.094395, 1.619612
0.403500, 0.433013, 0.334689, 2.094395, 1.617309
0.405000, 0.433013, 0.334657, 2.094395, 1.615008
0.406500, 0.433013, 0.334632, 2.094395, 1.612708
0.408000, 0.433013, 0.334614, 2.094395, 1.610410
0.409500, 0.433013, 0.334603, 2.094395, 1.608113
0.411000, 0.433013, 0.334600, 2.094395, 1.605818
0.412500, 0.433013, 0.334604, 2.094395, 1.603524
0.414000, 0.433013, 0.334615, 2.094395, 1.601232
0.415500, 0.433013, 0.334634, 2.094395, 1.598941
0.417000, 0.433013, 0.334660, 2.094395, 1.596652
0.418500, 0.433013, 0.334693, 2.094395, 1.594364
0.420000, 0.433013, 0.334734, 2.094395, 1.592078
0.421500, 0.433013, 0.334783, 2.094395, 1.589793
0.423000, 0.433013, 0.334838, 2.094395, 1.587510
0.424500, 0.433013, 0.334901, 2.094395, 1.585228
0.426000, 0.433013, 0.334972, 2.094395, 1.582947
0.427500, 0.433013, 0.335049, 2.094395, 1.580669
0.429000, 0.433013, 0.335134, 2.094395, 1.578392
0.430500, 0.433013, 0.335227, 2.094395, 1.576116
0.432000, 0.433013, 0.335326, 2.094395, 1.573842
0.433500, 0.433013, 0.335433, 2.094395, 1.571570
0.435000, 0.433013, 0.335547, 2.094395, 1.569300
0.436500, 0.433013, 0.335669, 2.094395, 1.567031
0.438000, 0.433013, 0.335798, 2.094395, 1.564765
0.439500, 0.433013, 0.335933, 2.094395, 1.562500
0.441000, 0.433013, 0.336077, 2.094395, 1.560236
0.442500, 0.433013, 0.336227, 2.094395, 1.557975
0.444000, 0.433013, 0.336384, 2.094395, 1.555716
0.445500, 0.433013, 0.336549, 2.094395, 1.553458
0.447000, 0.433013, 0.336720, 2.094395, 1.551203
0.448500, 0.433013, 0.336899, 2.094395, 1.548949
0.450000, 0.433013, 0.337085, 2.094395, 1.546697
0.451500, 0.433013, 0.337278, 2.094395, 1.544448
0.453000, 0.433013, 0.337477, 2.094395, 1.542200
0.454500, 0.433013, 0.337684, 2.094395, 1.539955
0.456000, 0.433013, 0.337898, 2.094395, 1.537711
0.457500, 0.433013, 0.338119, 2.094395, 1.535470
0.459000, 0.433013, 0.338346, 2.094395, 1.533231
0.460500, 0.433013, 0.338580, 2.094395, 1.530994
0.462000, 0.433013, 0.338822, 2.094395, 1.528759
0.463500, 0.433013, 0.339070, 2.094395, 1.526526
0.465000, 0.433013, 0.339324, 2.094395, 1.524296
0.466500, 0.433013, 0.339586, 2.094395, 1.522067
0.468000, 0.433013, 0.339854, 2.094395, 1.519841
0.469500, 0.433013, 0.340129, 2.094395, 1.517618
0.471000, 0.433013, 0.340410, 2.094395, 1.515396
0.472500, 0.433013, 0.340698, 2.094395, 1.513178
0.474000, 0.433013, 0.340991, 2.094395, 1.510962
0.475500, 0.433013, 0.341290, 2.094395, 1.508748
0.477000, 0.433013, 0.341594, 2.094395, 1.506538
0.478500, 0.433013, 0.341905, 2.094395, 1.504331
0.480000, 0.433013, 0.342221, 2.094395, 1.502126
0.481500, 0.433013, 0.342545, 2.094395, 1.499924
0.483000, 0.433013, 0.342874, 2.094395, 1.497725
0.484500, 0.433013, 0.343210, 2.094395, 1.495529
0.486000, 0.433013, 0.343552, 2.094395, 1.493335
0.487500, 0.433013, 0.343901, 2.094395, 1.491144
0.489000, 0.433013, 0.344256, 2.094395, 1.488955
0.490500, 0.433013, 0.344617, 2.094395, 1.486769
0.492000, 0.433013, 0.344984, 2.094395, 1.484586
0.493500, 0.433013, 0.345358, 2.094395, 1.482406
0.495000, 0.433013, 0.345738, 2.094395, 1.480228
0.496500, 0.433013, 0.346123, 2.094395, 1.478052
0.498000, 0.433013, 0.346515, 2.094395, 1.475880
0.499500, 0.433013, 0.346913, 2.094395, 1.473710
0.501000, 0.433013, 0.347316, 2.094395, 1.471543
0.502500, 0.433013, 0.347725, 2.094395, 1.469379
0.504000, 0.433013, 0.348140, 2.094395, 1.467217
0.505500, 0.433013, 0.348561, 2.094395, 1.465059
0.507000, 0.433013, 0.348987, 2.094395, 1.462903
0.508500, 0.433013, 0.349419, 2.094395, 1.460750
0.510000, 0.433013, 0.349856, 2.094395, 1.458600
0.511500, 0.433013, 0.350299, 2.094395, 1.456453
0.513000, 0.433013, 0.350747, 2.094395, 1.454309
0.514500, 0.433013, 0.351200, 2.094395, 1.452168
0.516000, 0.433013, 0.351659, 2.094395, 1.450030
0.517500, 0.433013, 0.352122, 2.094395, 1.447895
0.519000, 0.433013, 0.352591, 2.094395, 1.445763
0.520500, 0.433013, 0.353064, 2.094395, 1.443634
0.522000, 0.433013, 0.353543, 2.094395, 1.441509
0.523500, 0.433013, 0.354026, 2.094395, 1.439386
0.525000, 0.433013, 0.354514, 2.094395, 1.437267
0.526500, 0.433013, 0.355007, 2.094395, 1.435151
0.528000, 0.433013, 0.355505, 2.094395, 1.433038
0.529500, 0.433013, 0.356006, 2.094395, 1.430928
0.531000, 0.433013, 0.356511, 2.094395, 1.428822
0.532500, 0.433013, 0.357019, 2.094395, 1.426719
0.534000, 0.433013, 0.357531, 2.094395, 1.424620
0.535500, 0.433013, 0.358047, 2.094395, 1.422525
0.537000, 0.433013, 0.358567, 2.094395, 1.420433
0.538500, 0.433013, 0.359091, 2.094395, 1.418345
0.540000, 0.433013, 0.359619, 2.094395, 1.416261
0.541500, 0.433013, 0.360151, 2.094395, 1.414181
0.543000, 0.433013, 0.360688, 2.094395, 1.412105
0.544500, 0.433013, 0.361228, 2.094395, 1.410032
0.546000, 0.433013, 0.361772, 2.094395, 1.407963
0.547500, 0.433013, 0.362321, 2.094395, 1.405897
0.549000, 0.433013, 0.362873, 2.094395, 1.403836
